,feature,importance
269,MEAN(bureau.CNT_CREDIT_PROLONG),6.4
270,MEAN(previous_app.DAYS_LAST_DUE_1ST_VERSION),21.8
271,SUM(installments.NUM_INSTALMENT_VERSION),21.6
272,MIN(credit.AMT_CREDIT_LIMIT_ACTUAL),4.6
273,MEAN(cash.SK_DPD_DEF),16.8
274,SUM(credit.AMT_INST_MIN_REGULARITY),3.0000000000000004
275,MEAN(cash.MONTHS_BALANCE),17.0
276,MEAN(previous_app.RATE_INTEREST_PRIMARY),0.6000000000000001
277,MIN(credit.AMT_PAYMENT_CURRENT),5.0
278,MEAN(bureau_balance.MONTHS_BALANCE),18.0
279,MIN(cash.MONTHS_BALANCE),5.6000000000000005
280,MIN(cash.SK_DPD),0.0
281,MEAN(credit.AMT_DRAWINGS_POS_CURRENT),4.199999999999999
282,MEAN(credit.MONTHS_BALANCE),2.8
283,MEAN(credit.SK_DPD),3.9999999999999996
284,MAX(bureau.AMT_CREDIT_SUM_LIMIT),20.799999999999997
285,MIN(installments.DAYS_ENTRY_PAYMENT),10.600000000000001
286,MAX(installments.NUM_INSTALMENT_VERSION),7.4
287,MIN(bureau.DAYS_CREDIT),37.400000000000006
288,MIN(installments.SK_ID_CURR),0.0
289,SUM(installments.DAYS_INSTALMENT),10.2
290,SUM(installments.DAYS_ENTRY_PAYMENT),8.8
291,MEAN(previous_app.CNT_PAYMENT),55.60000000000001
292,SUM(cash.SK_DPD),3.8
293,SUM(bureau.CREDIT_DAY_OVERDUE),1.5999999999999999
294,MIN(credit.AMT_DRAWINGS_OTHER_CURRENT),0.0
295,MAX(credit.AMT_CREDIT_LIMIT_ACTUAL),3.4
296,SUM(credit.CNT_DRAWINGS_OTHER_CURRENT),0.4
297,MAX(bureau_balance.MONTHS_BALANCE),2.0
298,MEAN(previous_app.AMT_CREDIT),26.0
299,MEAN(cash.CNT_INSTALMENT),17.6
300,MIN(credit.SK_DPD),0.0
301,MAX(bureau.AMT_CREDIT_SUM_DEBT),42.0
302,SUM(cash.MONTHS_BALANCE),18.6
303,MIN(previous_app.HOUR_APPR_PROCESS_START),17.6
304,MIN(credit.CNT_DRAWINGS_OTHER_CURRENT),0.0
305,SUM(credit.CNT_INSTALMENT_MATURE_CUM),3.4000000000000004
306,SUM(previous_app.AMT_ANNUITY),23.0
307,COUNT(bureau_balance),14.0
308,MAX(credit.AMT_PAYMENT_CURRENT),5.6
309,MAX(previous_app.DAYS_FIRST_DUE),14.799999999999999
310,MEAN(credit.AMT_CREDIT_LIMIT_ACTUAL),9.0
311,SUM(credit.CNT_DRAWINGS_CURRENT),6.199999999999999
312,MIN(credit.AMT_INST_MIN_REGULARITY),1.4
313,MIN(previous_app.SELLERPLACE_AREA),25.200000000000003
314,MEAN(credit.AMT_INST_MIN_REGULARITY),2.6
315,SUM(cash.SK_DPD_DEF),3.3999999999999995
316,MEAN(cash.SK_DPD),7.0
317,MAX(installments.SK_ID_CURR),0.0
318,MIN(previous_app.NFLAG_LAST_APPL_IN_DAY),0.0
319,MAX(cash.SK_ID_CURR),0.0
320,SUM(credit.AMT_DRAWINGS_ATM_CURRENT),3.0
321,MAX(credit.AMT_RECIVABLE),0.4
322,MEAN(installments.DAYS_INSTALMENT),15.600000000000001
323,MEAN(installments.AMT_PAYMENT),28.200000000000003
324,MAX(credit.MONTHS_BALANCE),1.2000000000000002
325,MAX(bureau.AMT_CREDIT_SUM_OVERDUE),14.2
326,MAX(previous_app.AMT_APPLICATION),3.4000000000000004
327,MEAN(previous_app.DAYS_TERMINATION),20.200000000000003
328,SUM(previous_app.DAYS_LAST_DUE),20.6
329,MEAN(credit.AMT_TOTAL_RECEIVABLE),3.8000000000000003
330,MAX(previous_app.AMT_DOWN_PAYMENT),44.4
331,MIN(previous_app.AMT_ANNUITY),39.8
332,MAX(previous_app.NFLAG_INSURED_ON_APPROVAL),0.4
333,SUM(previous_app.NFLAG_INSURED_ON_APPROVAL),3.0
334,MAX(cash.SK_DPD),4.4
335,MIN(bureau_balance.MONTHS_BALANCE),10.200000000000001
336,MEAN(previous_app.NFLAG_INSURED_ON_APPROVAL),24.0
337,SUM(bureau.AMT_CREDIT_SUM_OVERDUE),3.2
338,SUM(previous_app.SELLERPLACE_AREA),36.6
339,MAX(previous_app.DAYS_TERMINATION),5.6
340,MAX(cash.SK_DPD_DEF),5.6000000000000005
341,MIN(credit.CNT_DRAWINGS_CURRENT),0.4
342,SUM(previous_app.CNT_PAYMENT),36.0
343,SUM(credit.CNT_DRAWINGS_ATM_CURRENT),5.6
344,MIN(bureau.DAYS_CREDIT_ENDDATE),38.0
345,SUM(credit.AMT_PAYMENT_TOTAL_CURRENT),3.0
346,SUM(credit.SK_ID_CURR),5.0
347,MEAN(previous_app.AMT_DOWN_PAYMENT),38.4
348,MEAN(bureau.AMT_CREDIT_SUM_LIMIT),37.2
349,SUM(bureau.AMT_CREDIT_SUM),61.0
350,MAX(previous_app.SELLERPLACE_AREA),40.2
351,MIN(installments.AMT_PAYMENT),98.0
352,SUM(previous_app.AMT_GOODS_PRICE),0.6000000000000001
353,MIN(previous_app.NFLAG_INSURED_ON_APPROVAL),0.0
354,MEAN(credit.AMT_RECIVABLE),0.4
355,SUM(previous_app.HOUR_APPR_PROCESS_START),24.6
356,MAX(bureau.AMT_CREDIT_MAX_OVERDUE),35.2
357,MIN(cash.CNT_INSTALMENT),10.6
358,MIN(previous_app.DAYS_TERMINATION),8.0
359,MAX(credit.CNT_INSTALMENT_MATURE_CUM),3.0
360,MEAN(previous_app.DAYS_LAST_DUE),17.799999999999997
361,SUM(cash.SK_ID_CURR),26.200000000000003
362,COUNT(installments),12.8
363,MEAN(cash.CNT_INSTALMENT_FUTURE),39.0
364,SUM(credit.AMT_RECIVABLE),0.4
365,SUM(cash.CNT_INSTALMENT_FUTURE),16.0
366,MIN(credit.CNT_DRAWINGS_POS_CURRENT),0.4
367,MIN(credit.CNT_INSTALMENT_MATURE_CUM),0.0
368,MIN(credit.AMT_DRAWINGS_CURRENT),0.2
